"","iso_code","continent","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","datestime"
"1","AFG","Asia",6402,1063,168,32,164.456,27.307,4.316,0.822,53705,11590.3171981826,1.38,0.478731413513021,9322.55842395497,0.416967308344982,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,42,597.029,9.59,0.3,14.7,37.746,0.5,137
"2","ALB","Europe",1341,42,34,0,465.981,14.594,11.815,0,17618,13638.1478773149,6.122,0.704237414321466,15123.6878734078,0.652384570702569,83.2890909090909,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,94.2155,2.89,163
"3","DZA","Africa",9831,205,681,14,224.191,4.675,15.53,0.319,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,43.2975333333333,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,157
"4","AND","Europe",844,79,51,0,10923.445,1022.455,660.066,0,3750,13638.1478773149,48.538,0.704237414321466,15123.6878734078,0.652384570702569,48.2775949367089,77265,163.755,42.07,17.719625,14.14,42029.76,0,109.135,7.97,29,37.8,94.2155,2.5,155
"5","AGO","Africa",113,17,4,0,3.438,0.517,0.122,0,10000,4016.05996680804,0.305,0.0868280980559793,3394.7138020026,0.0759311378276896,79.2957333333333,32866268,23.89,16.8,2.405,1.362,5819.495,20,276.045,3.94,1.6,14.2,26.664,0.8,163
"6","AIA","North America",2,2,0,0,133.316,133.316,0,0,725110.390214974,104336.118421828,28.4241561972426,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,15002,270.565545454545,33.128,9.945,6.22796,21655.2437037037,8.3,197.066884615385,10.8809677419355,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,87
"7","ATG","North America",15,6,0,0,153.174,61.27,0,0,489,104336.118421828,4.996,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,97928,231.845,32.1,6.933,4.631,21490.943,14.4,191.511,13.17,4.2,4.6,75.9312142857143,3.8,95
"8","ARG","South America",21024,1769,632,44,465.176,39.141,13.984,0.974,189278,5416,4.188,0.12,4857,0.107,90.74,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,65.9906666666667,5,158
"9","ARM","Asia",13130,766,200,10,4430.97,258.501,67.494,3.375,77686,11590.3171981826,26.219,0.478731413513021,9322.55842395497,0.416967308344982,70.1410910283143,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,160
"10","ABW","North America",50,22,0,0,468.314,206.058,0,0,2199,104336.118421828,20.601,0.51562571519761,70118.6853920516,0.419774732524589,82.41,106766,584.8,41.2,13.085,7.452,35973.781,0,197.066884615385,11.62,16.2,16.6,75.9312142857143,2.31652173913043,90
