"","txsize"
"1",276
"2",276
"3",11633
"4",11634
"5",13918
"6",4221
"7",234
"8",276
"9",2170
"10",12767
"11",233
"12",337
"13",224
"14",2321
"15",2324
"16",2324
"17",224
"18",2318
"19",999
"20",4606
"21",6883
"22",6876
"23",1985
"24",726
"25",1871
"26",4150
"27",316
"28",1417
"29",1410
"30",3693
"31",1185
"32",1220
"33",1187
"34",1182
"35",3584
"36",2095
"37",3469
"38",3463
"39",3464
"40",997
"41",953
"42",3235
"43",728
"44",8020
"45",5511
"46",2784
"47",5220
"48",272
"49",274
"50",350
"51",5055
"52",224
"53",1301
