"","txsize","txvirtualsize","txinputs_count","txoutputs_count","txinput_val","txoutput_val","txfee","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent"
"1",257,257,1,2,6.2e+07,6.2e+07,0,0.22,0.4,0.31,0.62,0.127279220613579,0.0162,0.62,0.62,0.62,0.62,0,0
"2",979,979,5,2,1.32897e+11,1.32897e+11,0,0.22,1328.75,664.485,1328.97,939.412572009764,882495.98045,0.96,1250,265.794,1328.97,550.498190169595,303048.25738
"3",258,258,1,2,3.2e+07,3.2e+07,0,0.1,0.22,0.16,0.32,0.0848528137423857,0.0072,0.32,0.32,0.32,0.32,0,0
"4",257,257,1,2,2.3e+07,2.3e+07,0,0.01,0.22,0.115,0.23,0.148492424049175,0.02205,0.23,0.23,0.23,0.23,0,0
"5",257,257,1,2,2.3e+07,2.3e+07,0,0.01,0.22,0.115,0.23,0.148492424049175,0.02205,0.23,0.23,0.23,0.23,0,0
"6",617,617,3,2,4.8252e+10,4.8252e+10,0,0.22,482.3,241.26,965.04,278.329017770935,77467.0421333333,0.43,481.46,160.84,965.04,248.351200198429,61678.31864
"7",257,257,1,2,2.3e+07,2.3e+07,0,0.01,0.22,0.115,0.23,0.148492424049175,0.02205,0.23,0.23,0.23,0.23,0,0
"8",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"9",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"10",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"11",258,258,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"12",259,259,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"13",437,437,2,2,1e+07,9e+06,1000000,0.04,0.05,0.045,0.09,0.00707106781186548,5e-05,0.05,0.05,0.05,0.1,0,0
"14",224,224,1,1,1e+06,1e+06,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0
"15",258,258,1,2,2e+06,2e+06,0,0.01,0.01,0.01,0.02,0,0,0.02,0.02,0.02,0.02,0,0
"16",258,258,1,2,2e+06,2e+06,0,0.01,0.01,0.01,0.02,0,0,0.02,0.02,0.02,0.02,0,0
"17",258,258,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"18",258,258,1,2,2e+06,2e+06,0,0.01,0.01,0.01,0.02,0,0,0.02,0.02,0.02,0.02,0,0
"19",258,258,1,2,2e+06,2e+06,0,0.01,0.01,0.01,0.02,0,0,0.02,0.02,0.02,0.02,0,0
"20",258,258,1,2,1e+07,1e+07,0,0.04,0.06,0.05,0.1,0.014142135623731,2e-04,0.1,0.1,0.1,0.1,0,0
"21",259,259,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"22",438,438,2,2,1.6e+07,1.6e+07,0,0.04,0.12,0.08,0.16,0.0565685424949238,0.0032,0.07,0.09,0.08,0.16,0.014142135623731,2e-04
"23",259,259,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"24",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"25",798,798,4,2,4e+07,4e+07,0,0.04,0.36,0.2,0.4,0.226274169979695,0.0512,0.1,0.1,0.1,0.4,0,0
"26",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"27",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"28",437,437,2,2,5.14e+08,5.14e+08,0,0.04,5.1,2.57,5.14,3.57796031280393,12.8018,0.05,5.09,2.57,5.14,3.5638181771802,12.7008
"29",436,436,2,2,1.04e+08,1.04e+08,0,0.04,1,0.52,1.04,0.678822509939086,0.4608,0.5,0.54,0.52,1.04,0.0282842712474619,8e-04
"30",437,437,2,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045
"31",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"32",258,258,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
